No ID,Site ID,Data collection date (dd/mm/yyyy),Plot,Sub-plot,Latitude,Longitude,Species name (scientific),Species name (local),DBH (cm),Status (live/1/2/3),notes,wood density (g/cm3),volume (cm3),Wood Mass AG (kg),Total AGB (kg),BG root mass (kg),Sub-plot area (ha),AGB (Mg/ha),BGB (Mg/ha),AGC (MgC/ha),BGC (MgC/ha),Basal area per ha (m2),AGB summed per plot (Mg/ha),BGB summed per plot (Mg/ha),AGC summed per plot (MgC/ha),BGC summed per plot (MgC/ha),Basal area (m2/ha) summed per plot,source for density,source for allometry
1157,KAT,5/08/2015,South,KSP24,,,,asam-asam,5,,,,,,7.76,2.40,0.04,0.194,0.060,0.097,0.030,0.002,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1158,KAT,5/08/2015,South,KSP24,,,,asam-asam,7.6,,,,,,22.23,6.16,0.04,0.556,0.154,0.278,0.077,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1159,KAT,5/08/2015,South,KSP24,,,,ketiau,6.8,,,,,,16.81,4.80,0.04,0.420,0.120,0.210,0.060,0.004,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1160,KAT,5/08/2015,South,KSP24,,,,kajalaki,5,,,,,,7.76,2.40,0.04,0.194,0.060,0.097,0.030,0.002,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1161,KAT,5/08/2015,South,KSP24,,,,darah-darah,5.6,,,,,,10.32,3.10,0.04,0.258,0.077,0.129,0.039,0.002,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1162,KAT,5/08/2015,South,KSP24,,,,gemor,8,,,,,,25.29,6.92,0.04,0.632,0.173,0.316,0.086,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1163,KAT,5/08/2015,South,KSP24,,,,asam-asam,10.1,,,,,,45.44,11.69,0.04,1.136,0.292,0.568,0.146,0.008,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1164,KAT,5/08/2015,South,KSP24,,,,meranti,7.7,,,,,,22.98,6.35,0.04,0.574,0.159,0.287,0.079,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1165,KAT,5/08/2015,South,KSP24,,,,terantang,33.7,,,,,,938.58,176.36,0.04,23.465,4.409,11.732,2.205,0.089,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1166,KAT,5/08/2015,South,KSP24,,,,meranti,9.1,,,,,,34.96,9.25,0.04,0.874,0.231,0.437,0.116,0.007,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1167,KAT,5/08/2015,South,KSP24,,,,ketiau,7,,,,,,18.08,5.12,0.04,0.452,0.128,0.226,0.064,0.004,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1168,KAT,5/08/2015,South,KSP24,,,,tatumbu,8,,,,,,25.29,6.92,0.04,0.632,0.173,0.316,0.086,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1169,KAT,5/08/2015,South,KSP24,,,,tatumbu,13,,,,,,85.68,20.64,0.04,2.142,0.516,1.071,0.258,0.013,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1170,KAT,5/08/2015,South,KSP24,,,,tulang,7.4,,,,,,20.79,5.80,0.04,0.520,0.145,0.260,0.073,0.004,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1171,KAT,5/08/2015,South,KSP24,,,,gula-gula,23.7,,,,,,387.51,79.82,0.04,9.688,1.996,4.844,0.998,0.044,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1172,KAT,5/08/2015,South,KSP24,,,,meranti,41.2,,,,,,1555.16,277.29,0.04,38.879,6.932,19.440,3.466,0.133,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1173,KAT,5/08/2015,South,KSP24,,,,kulat,7.8,,,,,,23.73,6.53,0.04,0.593,0.163,0.297,0.082,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1174,KAT,5/08/2015,South,KSP24,,,,enyak berok,20.7,,,,,,275.79,58.85,0.04,6.895,1.471,3.447,0.736,0.034,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1175,KAT,5/08/2015,South,KSP24,,,,kajalaki,5.6,Dead tree,,,,,10.32,3.10,0.04,0.258,0.077,0.129,0.039,0.002,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1176,KAT,5/08/2015,South,KSP24,,,,gula-gula,9.9,,,,,,43.21,11.18,0.04,1.080,0.279,0.540,0.140,0.008,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1177,KAT,5/08/2015,South,KSP24,,,,tulang,9.1,,,,,,34.96,9.25,0.04,0.874,0.231,0.437,0.116,0.007,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1178,KAT,5/08/2015,South,KSP25,,,,jangkang,16.2,,,,,,148.95,33.89,0.04,3.724,0.847,1.862,0.424,0.021,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1179,KAT,5/08/2015,South,KSP25,,,,terantang,5.3,,,,,,8.99,2.74,0.04,0.225,0.068,0.112,0.034,0.002,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1180,KAT,5/08/2015,South,KSP25,,,,asam-asam,21.5,,,,,,303.36,64.10,0.04,7.584,1.602,3.792,0.801,0.036,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1181,KAT,5/08/2015,South,KSP25,,,,asam-asam,14.1,,,,,,105.08,24.79,0.04,2.627,0.620,1.314,0.310,0.016,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1182,KAT,5/08/2015,South,KSP25,,,,tatumbu,7.3,,,,,,20.09,5.63,0.04,0.502,0.141,0.251,0.070,0.004,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1183,KAT,5/08/2015,South,KSP25,,,,asam-asam,11.8,,,,,,67.17,16.60,0.04,1.679,0.415,0.840,0.207,0.011,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1184,KAT,5/08/2015,South,KSP25,,,,gula-gula,23.2,,,,,,367.29,76.08,0.04,9.182,1.902,4.591,0.951,0.042,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1185,KAT,5/08/2015,South,KSP25,,,,darah-darah,14.9,,Dendrometer tree,,,,120.71,28.07,0.04,3.018,0.702,1.509,0.351,0.017,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1186,KAT,5/08/2015,South,KSP25,,,,gula-gula,12,,,,,,70.07,17.24,0.04,1.752,0.431,0.876,0.215,0.011,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1187,KAT,5/08/2015,South,KSP25,,,,terantang,34.3,,,,,,981.14,183.51,0.04,24.529,4.588,12.264,2.294,0.092,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1188,KAT,5/08/2015,South,KSP25,,,,asam-asam,13.3,,,,,,90.74,21.73,0.04,2.268,0.543,1.134,0.272,0.014,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1189,KAT,5/08/2015,South,KSP25,,,,terantang,38.6,,Dendrometer tree,,,,1320.18,239.43,0.04,33.004,5.986,16.502,2.993,0.117,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1190,KAT,5/08/2015,South,KSP25,,,,terantang,30.5,Dead tree,,,,,730.44,140.87,0.04,18.261,3.522,9.130,1.761,0.073,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1191,KAT,5/08/2015,South,KSP25,,,,meranti,11.4,,,,,,61.59,15.36,0.04,1.540,0.384,0.770,0.192,0.010,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1192,KAT,5/08/2015,South,KSP25,,,,darah-darah,14.6,Dead tree,,,,,114.70,26.81,0.04,2.867,0.670,1.434,0.335,0.017,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1193,KAT,5/08/2015,South,KSP25,,,,meranti,5.1,,,,,,8.16,2.51,0.04,0.204,0.063,0.102,0.031,0.002,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1194,KAT,5/08/2015,South,KSP25,,,,tulang,8.9,Dead tree,,,,,33.06,8.79,0.04,0.827,0.220,0.413,0.110,0.006,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1195,KAT,5/08/2015,South,KSP25,,,,meranti,6,,,,,,12.28,3.62,0.04,0.307,0.090,0.153,0.045,0.003,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1196,KAT,5/08/2015,South,KSP25,,,,meranti,16.7,,,,,,160.78,36.29,0.04,4.019,0.907,2.010,0.454,0.022,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1197,KAT,5/08/2015,South,KSP25,,,,bentan,8.3,,,,,,27.74,7.52,0.04,0.694,0.188,0.347,0.094,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1198,KAT,5/08/2015,South,KSP25,,,,meranti,5.5,,,,,,9.86,2.97,0.04,0.247,0.074,0.123,0.037,0.002,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1199,KAT,5/08/2015,South,KSP25,,,,darah-darah,7.8,,,,,,23.73,6.53,0.04,0.593,0.163,0.297,0.082,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1200,KAT,5/08/2015,South,KSP25,,,,gula-gula,9.6,Dead tree,,,,,39.99,10.43,0.04,1.000,0.261,0.500,0.130,0.007,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1201,KAT,5/08/2015,South,KSP25,,,,gula-gula,15.2,,,,,,126.91,29.36,0.04,3.173,0.734,1.586,0.367,0.018,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1202,KAT,5/08/2015,South,KSP25,,,,terantang,40.5,,,,,,1489.61,266.79,0.04,37.240,6.670,18.620,3.335,0.129,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1203,KAT,5/08/2015,South,KSP25,,,,asam-asam,9.9,,,,,,43.21,11.18,0.04,1.080,0.279,0.540,0.140,0.008,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
1204,KAT,5/08/2015,South,KSP25,,,,tulang,7.8,,,,,,23.73,6.53,0.04,0.593,0.163,0.297,0.082,0.005,,,,,,,"AGB: Manuri S, Brack C, Nugroho NP, Hergoualc’h Ka, Novita N, Dotzauer H, Verchot L, Agung C, Putra S and Widyasari E. 2014. Tree biomass equations for tropical peat swamp forest ecosystems in Indonesia. Forest Ecology and Management 334:241–53; BGB: Suwarna U, Darusman E and Istomo D. 2012. Estimation of total carbon stocks in soil and vegetation of tropical peat forest in Indonesia. Manajemen Hutan Tropika 18:118."
