Site,Ecosystem,Emirate,plot,depth (cm),section length (cm),total core length (cm), % loss on ignition (LOI), % total carbon (TC),% inorganic carbon (IC),% organic carbon (OC),% nitrogen (N),proportion TC,proportion IC,proportion OC,proportion N,dry bulk density (g/cm3),TC density (g/cm3),IC density (g/cm3),OC density (g/cm3),TC (g/cm2),IC (g/cm2),OC (g/cm2),TC (g/m2),IC    (g/m2),OC (g/m2),TC (Mg/ha),IC  (Mg/ha),OC (Mg/ha),notes,,
Jazirat,seagrass,Abu Dhabi,3,21.5-24.5,3,,2.485,8.49,7.92,0.57,,0.085,0.079,0.006,,1.393,0.118,0.110,0.008,0.355,0.331,0.024,3546.0,3307.4,238.6,35.46,33.07,2.39,,,
Jazirat,seagrass,Abu Dhabi,3,24.5-27.5,3,,2.460,8.30,7.95,0.35,,0.083,0.079,0.004,,1.371,0.114,0.109,0.005,0.342,0.327,0.015,3415.6,3269.6,145.9,34.16,32.70,1.46,,,
Jazirat,seagrass,Abu Dhabi,3,27.5-30.5,3,,2.372,8.00,7.42,0.58,,0.080,0.074,0.006,,1.474,0.118,0.109,0.009,0.354,0.328,0.026,3535.1,3279.6,255.5,35.35,32.80,2.56,,,
Jazirat,seagrass,Abu Dhabi,3,30.5-33.5,3,,2.380,8.01,7.97,0.05,,0.080,0.080,0.000,,1.453,0.116,0.116,0.001,0.349,0.347,0.002,3494.4,3474.5,19.9,34.94,34.74,0.20,,,
Jazirat,seagrass,Abu Dhabi,3,33.5-36.5,3,,2.492,7.92,7.90,0.02,,0.079,0.079,0.000,,1.469,0.116,0.116,0.000,0.349,0.348,0.001,3492.5,3482.8,9.8,34.93,34.83,0.10,,,
Jazirat,seagrass,Abu Dhabi,3,36.5-39.5,3,,2.466,8.36,7.92,0.44,,0.084,0.079,0.004,,1.444,0.121,0.114,0.006,0.362,0.343,0.019,3620.7,3431.4,189.3,36.21,34.31,1.89,,,
Halat Idai,seagrass,Abu Dhabi,1,0-1.5,1.5,17,2.829,10.36,9.95,0.40,,0.104,0.100,0.004,,1.397,0.145,0.139,0.006,0.217,0.209,0.008,2169.4,2085.3,84.1,21.69,20.85,0.84,,,
Halat Idai,seagrass,Abu Dhabi,1,1.5-4.5,3,,2.745,10.06,9.81,0.25,,0.101,0.098,0.003,,1.491,0.150,0.146,0.004,0.450,0.439,0.011,4501.9,4389.9,112.0,45.02,43.90,1.12,,,
Halat Idai,seagrass,Abu Dhabi,1,4.5-7.5,3,,2.719,10.03,9.65,0.38,,0.100,0.097,0.004,,1.547,0.155,0.149,0.006,0.466,0.448,0.018,4655.2,4479.2,176.1,46.55,44.79,1.76,,,
Halat Idai,seagrass,Abu Dhabi,1,7.5-10.5,3,,2.930,10.28,10.08,0.21,,0.103,0.101,0.002,,1.552,0.160,0.156,0.003,0.479,0.469,0.010,4788.3,4692.5,95.8,47.88,46.93,0.96,,,
Halat Idai,seagrass,Abu Dhabi,1,10.5-13.5,3,,2.837,10.04,9.98,0.06,,0.100,0.100,0.001,,1.495,0.150,0.149,0.001,0.450,0.448,0.003,4503.3,4477.2,26.1,45.03,44.77,0.26,,,
Halat Idai,seagrass,Abu Dhabi,1,13.5-16.5,3,,2.793,10.28,9.57,0.71,,0.103,0.096,0.007,,1.484,0.153,0.142,0.010,0.458,0.426,0.031,4578.0,4263.6,314.3,45.78,42.64,3.14,,,
Halat Idai,seagrass,Abu Dhabi,2,0-1.5,1.5,17,3.046,10.00,9.61,0.40,,0.100,0.096,0.004,,1.375,0.138,0.132,0.005,0.206,0.198,0.008,2063.2,1981.4,81.8,20.63,19.81,0.82,,,
Halat Idai,seagrass,Abu Dhabi,2,1.5-4.5,3,,3.041,10.40,10.16,0.24,,0.104,0.102,0.002,,1.438,0.150,0.146,0.003,0.449,0.439,0.010,4487.6,4385.1,102.4,44.88,43.85,1.02,,,
Halat Idai,seagrass,Abu Dhabi,2,4.5-7.5,3,,3.037,10.26,10.05,0.21,,0.103,0.101,0.002,,1.487,0.153,0.149,0.003,0.458,0.448,0.009,4576.9,4484.0,92.9,45.77,44.84,0.93,,,
Halat Idai,seagrass,Abu Dhabi,2,7.5-10.5,3,,2.848,10.24,10.00,0.24,,0.102,0.100,0.002,,1.465,0.150,0.146,0.003,0.450,0.439,0.010,4498.9,4394.5,104.3,44.99,43.95,1.04,,,
Halat Idai,seagrass,Abu Dhabi,2,10.5-13.5,3,,2.982,10.41,9.82,0.59,,0.104,0.098,0.006,,1.502,0.156,0.148,0.009,0.469,0.443,0.027,4693.1,4426.8,266.3,46.93,44.27,2.66,,,
Halat Idai,seagrass,Abu Dhabi,2,13.5-16.5,3,,2.421,10.69,10.08,0.61,,0.107,0.101,0.006,,1.604,0.172,0.162,0.010,0.515,0.485,0.030,5145.6,4850.4,295.2,51.46,48.50,2.95,,,
Halat Idai,seagrass,Abu Dhabi,3,0-3.5,3.5,16,2.899,10.45,9.17,1.28,,0.105,0.092,0.013,,1.488,0.156,0.137,0.019,0.544,0.478,0.066,5442.5,4778.1,664.5,54.43,47.78,6.64,,,
Halat Idai,seagrass,Abu Dhabi,3,3.5-6.5,3,,3.129,10.66,10.01,0.65,,0.107,0.100,0.007,,1.453,0.155,0.145,0.009,0.465,0.436,0.028,4646.1,4361.8,284.4,46.46,43.62,2.84,,,
Halat Idai,seagrass,Abu Dhabi,3,6.5-9.5,3,,2.973,10.38,9.98,0.40,,0.104,0.100,0.004,,1.504,0.156,0.150,0.006,0.468,0.450,0.018,4683.9,4503.9,180.0,46.84,45.04,1.80,,,
Halat Idai,seagrass,Abu Dhabi,3,9.5-12.5,3,,2.810,10.32,9.81,0.51,,0.103,0.098,0.005,,1.474,0.152,0.145,0.007,0.456,0.434,0.022,4561.6,4338.0,223.6,45.62,43.38,2.24,,,
Halat Idai,seagrass,Abu Dhabi,3,12.5-15.5,3,,2.993,10.34,9.88,0.46,,0.103,0.099,0.005,,1.456,0.151,0.144,0.007,0.452,0.432,0.020,4518.0,4317.0,201.1,45.18,43.17,2.01,,,
Marawah,seagrass,Abu Dhabi,1,0-3.5,3.5,59,6.114,11.38,9.94,1.45,,0.114,0.099,0.014,,0.974,0.111,0.097,0.014,0.388,0.339,0.049,3880.8,3387.6,493.2,38.81,33.88,4.93,,,
Marawah,seagrass,Abu Dhabi,1,3.5-6.5,3,,4.899,11.20,10.15,1.05,,0.112,0.101,0.011,,0.905,0.101,0.092,0.010,0.304,0.275,0.029,3040.3,2754.7,285.5,30.40,27.55,2.86,,,
Marawah,seagrass,Abu Dhabi,1,6.5-9.5,3,,4.818,11.20,10.06,1.14,,0.112,0.101,0.011,,0.789,0.088,0.079,0.009,0.265,0.238,0.027,2649.8,2380.3,269.5,26.50,23.80,2.70,,,
Marawah,seagrass,Abu Dhabi,1,9.5-12.5,3,,4.908,11.30,10.18,1.12,,0.113,0.102,0.011,,0.917,0.104,0.093,0.010,0.311,0.280,0.031,3109.2,2800.1,309.1,31.09,28.00,3.09,,,
Marawah,seagrass,Abu Dhabi,1,12.5-15.5,3,,5.050,11.31,10.16,1.15,,0.113,0.102,0.012,,1.070,0.121,0.109,0.012,0.363,0.326,0.037,3629.2,3259.4,369.8,36.29,32.59,3.70,,,
Marawah,seagrass,Abu Dhabi,1,15.5-18.5,3,,4.831,11.31,10.15,1.16,,0.113,0.102,0.012,,1.100,0.124,0.112,0.013,0.373,0.335,0.038,3732.5,3348.6,383.9,37.33,33.49,3.84,,,
Marawah,seagrass,Abu Dhabi,1,18.5-21.5,3,,5.367,11.33,10.21,1.12,,0.113,0.102,0.011,,1.034,0.117,0.106,0.012,0.352,0.317,0.035,3515.1,3167.2,348.0,35.15,31.67,3.48,,,
Marawah,seagrass,Abu Dhabi,1,21.5-24.5,3,,5.114,11.41,10.19,1.22,,0.114,0.102,0.012,,1.061,0.121,0.108,0.013,0.363,0.324,0.039,3631.2,3243.6,387.6,36.31,32.44,3.88,,,
Marawah,seagrass,Abu Dhabi,1,24.5-29,4.5,,4.914,11.51,10.30,1.21,,0.115,0.103,0.012,,1.171,0.135,0.121,0.014,0.607,0.543,0.064,6065.2,5429.1,636.0,60.65,54.29,6.36,,,
Marawah,seagrass,Abu Dhabi,1,29-35,6,,4.988,11.52,10.29,1.23,,0.115,0.103,0.012,,1.124,0.130,0.116,0.014,0.777,0.694,0.083,7772.8,6942.8,830.1,77.73,69.43,8.30,,,
Marawah,seagrass,Abu Dhabi,1,35-41,6,,4.537,11.64,10.28,1.36,,0.116,0.103,0.014,,1.192,0.139,0.123,0.016,0.832,0.735,0.097,8324.0,7350.4,973.6,83.24,73.50,9.74,,,
Marawah,seagrass,Abu Dhabi,1,41-47,6,,4.066,11.78,10.37,1.41,,0.118,0.104,0.014,,1.231,0.145,0.128,0.017,0.870,0.766,0.104,8702.5,7659.1,1043.3,87.02,76.59,10.43,,,
Marawah,seagrass,Abu Dhabi,1,47-53,6,,4.043,11.78,10.64,1.13,,0.118,0.106,0.011,,1.283,0.151,0.137,0.015,0.906,0.819,0.087,9062.1,8190.2,871.9,90.62,81.90,8.72,,,
Marawah,seagrass,Abu Dhabi,1,53-59,6,,3.968,11.91,10.30,1.60,,0.119,0.103,0.016,,1.292,0.154,0.133,0.021,0.923,0.799,0.124,9228.4,7985.3,1243.0,92.28,79.85,12.43,,,
Marawah,seagrass,Abu Dhabi,2,0-1.5,1.5,51,6.014,11.70,10.28,1.41,,0.117,0.103,0.014,,0.495,0.058,0.051,0.007,0.087,0.076,0.010,867.9,763.1,104.9,8.68,7.63,1.05,,,
Marawah,seagrass,Abu Dhabi,2,1.5-4.5,3,,6.495,12.65,10.33,2.32,,0.127,0.103,0.023,,0.780,0.099,0.081,0.018,0.296,0.242,0.054,2962.2,2419.0,543.2,29.62,24.19,5.43,,,
Marawah,seagrass,Abu Dhabi,2,4.5-7.5,3,,5.566,12.96,10.52,2.44,,0.130,0.105,0.024,,1.056,0.137,0.111,0.026,0.410,0.333,0.077,4104.4,3333.0,771.5,41.04,33.33,7.71,,,
Marawah,seagrass,Abu Dhabi,2,7.5-10.5,3,,5.515,11.25,9.91,1.34,,0.112,0.099,0.013,,0.819,0.092,0.081,0.011,0.276,0.243,0.033,2761.6,2433.5,328.0,27.62,24.34,3.28,,,
Marawah,seagrass,Abu Dhabi,2,10.5-13.5,3,,5.264,11.14,10.12,1.02,,0.111,0.101,0.010,,1.112,0.124,0.112,0.011,0.371,0.337,0.034,3714.9,3374.0,341.0,37.15,33.74,3.41,,,
Marawah,seagrass,Abu Dhabi,2,13.5-16.5,3,,5.367,11.15,10.13,1.02,,0.111,0.101,0.010,,0.986,0.110,0.100,0.010,0.330,0.300,0.030,3299.6,2998.9,300.7,33.00,29.99,3.01,,,
Marawah,seagrass,Abu Dhabi,2,16.5-19.5,3,,4.674,11.14,10.16,0.99,,0.111,0.102,0.010,,1.150,0.128,0.117,0.011,0.385,0.350,0.034,3845.4,3504.7,340.7,38.45,35.05,3.41,,,
Marawah,seagrass,Abu Dhabi,2,19.5-22.5,3,,4.094,11.20,10.30,0.90,,0.112,0.103,0.009,,1.313,0.147,0.135,0.012,0.441,0.406,0.036,4412.9,4057.6,355.3,44.13,40.58,3.55,,,
Marawah,seagrass,Abu Dhabi,2,22.5-27,4.5,,4.975,11.24,10.42,0.82,,0.112,0.104,0.008,,1.076,0.121,0.112,0.009,0.544,0.505,0.040,5443.4,5045.4,398.0,54.43,50.45,3.98,,,
Marawah,seagrass,Abu Dhabi,2,27-33,6,,4.431,11.32,10.36,0.96,,0.113,0.104,0.010,,1.340,0.152,0.139,0.013,0.910,0.832,0.077,9097.0,8323.5,773.4,90.97,83.24,7.73,,,
Marawah,seagrass,Abu Dhabi,2,33-39,6,,4.756,11.08,10.40,0.68,,0.111,0.104,0.007,,1.233,0.137,0.128,0.008,0.820,0.770,0.050,8199.9,7696.2,503.7,82.00,76.96,5.04,,,
Marawah,seagrass,Abu Dhabi,2,39-45,6,,4.923,11.26,10.37,0.89,,0.113,0.104,0.009,,1.192,0.134,0.124,0.011,0.805,0.742,0.064,8052.1,7416.0,636.0,80.52,74.16,6.36,,,
Marawah,seagrass,Abu Dhabi,2,45-51,6,,4.578,11.33,10.59,0.74,,0.113,0.106,0.007,,1.450,0.164,0.153,0.011,0.985,0.921,0.065,9854.8,9209.5,645.3,98.55,92.09,6.45,,,
Marawah,seagrass,Abu Dhabi,3,0-1.5,1.5,23,6.051,11.22,9.81,1.41,,0.112,0.098,0.014,,0.948,0.106,0.093,0.013,0.160,0.139,0.020,1595.4,1394.5,200.9,15.95,13.95,2.01,,,
Marawah,seagrass,Abu Dhabi,3,1.5-4.5,3,,4.619,11.28,10.65,0.63,,0.113,0.106,0.006,,1.229,0.139,0.131,0.008,0.416,0.393,0.023,4158.9,3925.1,233.8,41.59,39.25,2.34,,,
Marawah,seagrass,Abu Dhabi,3,4.5-7.5,3,,4.932,11.19,10.25,0.94,,0.112,0.103,0.009,,1.162,0.130,0.119,0.011,0.390,0.357,0.033,3900.2,3572.4,327.8,39.00,35.72,3.28,,,
Marawah,seagrass,Abu Dhabi,3,7.5-10.5,3,,4.847,11.31,10.27,1.04,,0.113,0.103,0.010,,1.139,0.129,0.117,0.012,0.386,0.351,0.036,3864.5,3508.6,355.9,38.64,35.09,3.56,,,
Marawah,seagrass,Abu Dhabi,3,10.5-13.5,3,,4.976,11.32,10.28,1.03,,0.113,0.103,0.010,,1.169,0.132,0.120,0.012,0.397,0.361,0.036,3969.9,3607.4,362.5,39.70,36.07,3.63,,,
Marawah,seagrass,Abu Dhabi,3,13.5-16.5,3,,4.570,11.22,10.51,0.71,,0.112,0.105,0.007,,1.314,0.147,0.138,0.009,0.442,0.414,0.028,4420.5,4140.9,279.6,44.20,41.41,2.80,,,
Marawah,seagrass,Abu Dhabi,3,16.5-19.5,3,,4.749,11.32,10.42,0.90,,0.113,0.104,0.009,,1.354,0.153,0.141,0.012,0.460,0.423,0.037,4599.1,4231.8,367.4,45.99,42.32,3.67,,,
Marawah,seagrass,Abu Dhabi,3,19.5-22.5,3,,4.802,11.16,10.27,0.89,,0.112,0.103,0.009,,1.300,0.145,0.133,0.012,0.435,0.400,0.035,4351.8,4004.9,346.9,43.52,40.05,3.47,,,
Fasht al Basm,seagrass,Abu Dhabi,1,0-2.5,2.5,70,4.779,11.58,9.91,1.66,,0.116,0.099,0.017,,1.221,0.141,0.121,0.020,0.353,0.303,0.051,3532.8,3025.2,507.6,35.33,30.25,5.08,,,
Fasht al Basm,seagrass,Abu Dhabi,1,2.5-5.5,3,,5.604,11.28,10.47,0.81,,0.113,0.105,0.008,,1.254,0.141,0.131,0.010,0.424,0.394,0.030,4242.9,3939.5,303.4,42.43,39.39,3.03,,,
Fasht al Basm,seagrass,Abu Dhabi,1,5.5-8.5,3,,4.583,11.22,10.46,0.76,,0.112,0.105,0.008,,1.376,0.154,0.144,0.010,0.463,0.432,0.031,4630.9,4316.3,314.6,46.31,43.16,3.15,,,
Fasht al Basm,seagrass,Abu Dhabi,1,8.5-11.5,3,,4.393,11.26,10.69,0.57,,0.113,0.107,0.006,,1.361,0.153,0.145,0.008,0.460,0.436,0.023,4599.2,4364.7,234.5,45.99,43.65,2.34,,,
Fasht al Basm,seagrass,Abu Dhabi,1,11.5-14.5,3,,3.182,11.42,10.90,0.52,,0.114,0.109,0.005,,1.431,0.163,0.156,0.007,0.490,0.468,0.022,4900.0,4677.7,222.3,49.00,46.78,2.22,,,
Fasht al Basm,seagrass,Abu Dhabi,1,14.5-17.5,3,,4.136,11.49,10.63,0.87,,0.115,0.106,0.009,,1.383,0.159,0.147,0.012,0.477,0.441,0.036,4770.3,4410.5,359.8,47.70,44.10,3.60,,,
Fasht al Basm,seagrass,Abu Dhabi,1,17.5-20.5,3,,4.292,12.00,10.73,1.28,,0.120,0.107,0.013,,1.336,0.160,0.143,0.017,0.481,0.430,0.051,4810.9,4299.3,511.7,48.11,42.99,5.12,,,
Fasht al Basm,seagrass,Abu Dhabi,1,20.5-23.5,3,,4.409,11.33,9.67,1.66,,0.113,0.097,0.017,,1.375,0.156,0.133,0.023,0.467,0.399,0.068,4672.7,3988.1,684.6,46.73,39.88,6.85,,,
Fasht al Basm,seagrass,Abu Dhabi,1,23.5-26.5,3,,4.185,11.33,10.67,0.66,,0.113,0.107,0.007,,1.361,0.154,0.145,0.009,0.463,0.436,0.027,4628.7,4357.9,270.9,46.29,43.58,2.71,,,
Fasht al Basm,seagrass,Abu Dhabi,1,26.5-29.5,3,,4.075,11.29,9.65,1.65,,0.113,0.096,0.016,,1.331,0.150,0.128,0.022,0.451,0.385,0.066,4507.7,3850.8,656.9,45.08,38.51,6.57,,,
Fasht al Basm,seagrass,Abu Dhabi,1,29.5-32.5,3,,4.152,11.04,9.77,1.27,,0.110,0.098,0.013,,1.383,0.153,0.135,0.018,0.458,0.405,0.053,4582.4,4053.6,528.8,45.82,40.54,5.29,,,
Fasht al Basm,seagrass,Abu Dhabi,1,32.5-35.5,3,,4.178,11.09,10.28,0.81,,0.111,0.103,0.008,,1.271,0.141,0.131,0.010,0.423,0.392,0.031,4228.7,3919.5,309.2,42.29,39.19,3.09,,,
Fasht al Basm,seagrass,Abu Dhabi,1,35.5-40,4.5,,3.831,10.97,10.59,0.39,,0.110,0.106,0.004,,1.256,0.138,0.133,0.005,0.620,0.598,0.022,6199.6,5981.8,217.7,62.00,59.82,2.18,,,
Fasht al Basm,seagrass,Abu Dhabi,1,40-46,6,,2.955,11.17,10.75,0.42,,0.112,0.107,0.004,,1.297,0.145,0.139,0.005,0.869,0.836,0.033,8689.2,8363.4,325.8,86.89,83.63,3.26,,,
Fasht al Basm,seagrass,Abu Dhabi,1,46-52,6,,3.070,11.18,11.03,0.16,,0.112,0.110,0.002,,1.331,0.149,0.147,0.002,0.893,0.881,0.013,8932.5,8806.7,125.8,89.33,88.07,1.26,,,
Fasht al Basm,seagrass,Abu Dhabi,1,52-58,6,,2.980,11.17,10.44,0.74,,0.112,0.104,0.007,,1.253,0.140,0.131,0.009,0.840,0.785,0.055,8400.9,7846.7,554.2,84.01,78.47,5.54,,,
Fasht al Basm,seagrass,Abu Dhabi,1,58-64,6,,3.082,10.95,10.49,0.45,,0.109,0.105,0.005,,1.258,0.138,0.132,0.006,0.826,0.792,0.034,8264.7,7923.1,341.6,82.65,79.23,3.42,,,
Fasht al Basm,seagrass,Abu Dhabi,1,64-70,6,,2.782,11.06,10.37,0.69,,0.111,0.104,0.007,,1.296,0.143,0.134,0.009,0.860,0.806,0.054,8598.6,8061.9,536.7,85.99,80.62,5.37,,,
Fasht al Basm,seagrass,Abu Dhabi,2,0-4.5,4.5,69,3.992,11.61,10.62,0.99,,0.116,0.106,0.010,,1.348,0.157,0.143,0.013,0.704,0.644,0.060,7043.4,6442.3,601.1,70.43,64.42,6.01,,,
Fasht al Basm,seagrass,Abu Dhabi,2,4.5-7.5,3,,3.372,11.46,10.66,0.80,,0.115,0.107,0.008,,1.326,0.152,0.141,0.011,0.456,0.424,0.032,4559.6,4242.7,317.0,45.60,42.43,3.17,,,
Fasht al Basm,seagrass,Abu Dhabi,2,7.5-10.5,3,,3.225,10.75,10.48,0.27,,0.107,0.105,0.003,,1.386,0.149,0.145,0.004,0.447,0.436,0.011,4470.2,4358.4,111.7,44.70,43.58,1.12,,,
Fasht al Basm,seagrass,Abu Dhabi,2,10.5-13.5,3,,3.118,11.53,11.00,0.53,,0.115,0.110,0.005,,1.357,0.156,0.149,0.007,0.469,0.448,0.022,4694.2,4477.5,216.7,46.94,44.77,2.17,,,
Fasht al Basm,seagrass,Abu Dhabi,2,13.5-16.5,3,,3.193,11.62,10.42,1.20,,0.116,0.104,0.012,,1.404,0.163,0.146,0.017,0.490,0.439,0.051,4895.2,4389.8,505.3,48.95,43.90,5.05,,,
Fasht al Basm,seagrass,Abu Dhabi,2,16.5-19.5,3,,3.447,11.41,10.94,0.48,,0.114,0.109,0.005,,1.373,0.157,0.150,0.007,0.470,0.450,0.020,4700.7,4504.1,196.6,47.01,45.04,1.97,,,
Fasht al Basm,seagrass,Abu Dhabi,2,19.5-22.5,3,,3.268,11.12,11.00,0.12,,0.111,0.110,0.001,,1.379,0.153,0.152,0.002,0.460,0.455,0.005,4599.6,4551.4,48.2,46.00,45.51,0.48,,,
Fasht al Basm,seagrass,Abu Dhabi,2,22.5-25.5,3,,3.521,11.46,10.80,0.66,,0.115,0.108,0.007,,1.361,0.156,0.147,0.009,0.468,0.441,0.027,4680.5,4409.6,270.9,46.80,44.10,2.71,,,
Fasht al Basm,seagrass,Abu Dhabi,2,25.5-28.5,3,,3.198,11.37,10.88,0.49,,0.114,0.109,0.005,,1.332,0.151,0.145,0.007,0.454,0.435,0.020,4542.7,4345.1,197.6,45.43,43.45,1.98,,,
Fasht al Basm,seagrass,Abu Dhabi,2,28.5-33,4.5,,3.197,11.34,10.78,0.56,,0.113,0.108,0.006,,1.435,0.163,0.155,0.008,0.732,0.696,0.036,7324.1,6963.3,360.8,73.24,69.63,3.61,,,
Fasht al Basm,seagrass,Abu Dhabi,2,33-39,6,,2.919,11.05,10.61,0.44,,0.111,0.106,0.004,,1.485,0.164,0.158,0.007,0.985,0.946,0.039,9849.6,9456.0,393.5,98.50,94.56,3.94,,,
Fasht al Basm,seagrass,Abu Dhabi,2,39-45,6,,2.851,11.16,10.76,0.40,,0.112,0.108,0.004,,1.453,0.162,0.156,0.006,0.972,0.938,0.035,9724.2,9376.4,347.8,97.24,93.76,3.48,,,
Fasht al Basm,seagrass,Abu Dhabi,2,45-51,6,,2.727,10.86,10.86,0.00,,0.109,0.109,0.000,,1.419,0.154,0.154,0.000,0.925,0.925,0.000,9249.5,9249.1,0.4,92.49,92.49,0.00,,,
Fasht al Basm,seagrass,Abu Dhabi,2,51-57,6,,2.878,10.96,10.44,0.51,,0.110,0.104,0.005,,1.359,0.149,0.142,0.007,0.893,0.852,0.042,8933.6,8515.9,417.8,89.34,85.16,4.18,,,
Fasht al Basm,seagrass,Abu Dhabi,2,57-63,6,,2.898,11.02,10.60,0.42,,0.110,0.106,0.004,,1.413,0.156,0.150,0.006,0.935,0.899,0.036,9346.0,8988.1,357.9,93.46,89.88,3.58,,,
Fasht al Basm,seagrass,Abu Dhabi,2,63-69,6,,2.729,11.05,10.60,0.46,,0.111,0.106,0.005,,1.406,0.155,0.149,0.006,0.932,0.894,0.038,9322.8,8938.8,384.0,93.23,89.39,3.84,,,
Abu al Abyad,seagrass,Abu Dhabi,1,0-3.5,3.5,89,3.513,11.23,10.52,0.70,,0.112,0.105,0.007,,1.309,0.147,0.138,0.009,0.514,0.482,0.032,5144.0,4822.7,321.3,51.44,48.23,3.21,,,
Abu al Abyad,seagrass,Abu Dhabi,1,3.5-6.5,3,,3.405,11.19,10.50,0.69,,0.112,0.105,0.007,,1.319,0.148,0.138,0.009,0.443,0.415,0.027,4426.3,4152.5,273.8,44.26,41.52,2.74,,,
Abu al Abyad,seagrass,Abu Dhabi,1,6.5-9.5,3,,3.353,11.24,10.72,0.53,,0.112,0.107,0.005,,1.360,0.153,0.146,0.007,0.459,0.437,0.022,4585.3,4370.3,215.0,45.85,43.70,2.15,,,
Abu al Abyad,seagrass,Abu Dhabi,1,9.5-12.5,3,,3.047,11.28,10.98,0.29,,0.113,0.110,0.003,,1.407,0.159,0.154,0.004,0.476,0.463,0.012,4758.1,4634.6,123.4,47.58,46.35,1.23,,,
Abu al Abyad,seagrass,Abu Dhabi,1,12.5-15.5,3,,2.876,10.98,10.79,0.18,,0.110,0.108,0.002,,1.456,0.160,0.157,0.003,0.479,0.471,0.008,4794.8,4714.6,80.1,47.95,47.15,0.80,,,
Abu al Abyad,seagrass,Abu Dhabi,1,15.5-18.5,3,,2.718,11.31,11.15,0.16,,0.113,0.112,0.002,,1.432,0.162,0.160,0.002,0.486,0.479,0.007,4857.9,4789.6,68.3,48.58,47.90,0.68,,,
Abu al Abyad,seagrass,Abu Dhabi,1,18.5-21.5,3,,2.683,11.31,10.99,0.32,,0.113,0.110,0.003,,1.430,0.162,0.157,0.005,0.485,0.471,0.014,4853.1,4713.9,139.2,48.53,47.14,1.39,,,
Abu al Abyad,seagrass,Abu Dhabi,1,21.5-24.5,3,,3.001,11.18,11.03,0.15,,0.112,0.110,0.001,,1.422,0.159,0.157,0.002,0.477,0.471,0.006,4768.9,4706.3,62.6,47.69,47.06,0.63,,,
Abu al Abyad,seagrass,Abu Dhabi,1,24.5-27.5,3,,2.748,11.28,10.87,0.41,,0.113,0.109,0.004,,1.384,0.156,0.150,0.006,0.468,0.451,0.017,4684.1,4514.1,170.0,46.84,45.14,1.70,,,
Abu al Abyad,seagrass,Abu Dhabi,1,27.5-30.5,3,,3.021,10.84,10.61,0.23,,0.108,0.106,0.002,,1.342,0.146,0.142,0.003,0.437,0.427,0.009,4365.6,4273.0,92.7,43.66,42.73,0.93,,,
Abu al Abyad,seagrass,Abu Dhabi,1,30.5-35,4.5,,2.968,11.19,10.83,0.36,,0.112,0.108,0.004,,1.476,0.165,0.160,0.005,0.743,0.719,0.024,7431.0,7191.9,239.1,74.31,71.92,2.39,,,
Abu al Abyad,seagrass,Abu Dhabi,1,35-41,6,,3.047,11.14,10.72,0.41,,0.111,0.107,0.004,,1.445,0.161,0.155,0.006,0.965,0.929,0.036,9652.5,9293.5,359.0,96.53,92.94,3.59,,,
Abu al Abyad,seagrass,Abu Dhabi,1,41-47,6,,2.958,11.18,10.83,0.35,,0.112,0.108,0.004,,1.487,0.166,0.161,0.005,0.998,0.966,0.031,9976.3,9663.3,313.0,99.76,96.63,3.13,,,
Abu al Abyad,seagrass,Abu Dhabi,1,47-53,6,,3.173,11.23,10.86,0.36,,0.112,0.109,0.004,,1.443,0.162,0.157,0.005,0.972,0.941,0.031,9721.4,9406.4,315.0,97.21,94.06,3.15,,,
Abu al Abyad,seagrass,Abu Dhabi,1,53-59,6,,2.574,11.10,10.93,0.17,,0.111,0.109,0.002,,1.435,0.159,0.157,0.002,0.955,0.941,0.015,9553.2,9406.2,147.1,95.53,94.06,1.47,,,
Abu al Abyad,seagrass,Abu Dhabi,1,59-65,6,,2.477,11.18,10.99,0.19,,0.112,0.110,0.002,,1.470,0.164,0.161,0.003,0.985,0.969,0.017,9854.6,9687.8,166.9,98.55,96.88,1.67,,,
Abu al Abyad,seagrass,Abu Dhabi,1,65-71,6,,2.437,11.21,11.02,0.18,,0.112,0.110,0.002,,1.457,0.163,0.161,0.003,0.979,0.963,0.016,9793.3,9632.9,160.4,97.93,96.33,1.60,,,
Abu al Abyad,seagrass,Abu Dhabi,1,71-77,6,,2.600,11.30,10.73,0.57,,0.113,0.107,0.006,,1.547,0.175,0.166,0.009,1.049,0.996,0.053,10489.3,9962.4,526.9,104.89,99.62,5.27,,,
Abu al Abyad,seagrass,Abu Dhabi,1,77-83,6,,2.602,11.10,10.60,0.50,,0.111,0.106,0.005,,1.516,0.168,0.161,0.008,1.010,0.964,0.046,10100.9,9643.8,457.1,101.01,96.44,4.57,,,
Abu al Abyad,seagrass,Abu Dhabi,1,83-89,6,,2.587,11.15,11.11,0.04,,0.111,0.111,0.000,,1.433,0.160,0.159,0.001,0.959,0.955,0.003,9586.6,9552.2,34.4,95.87,95.52,0.34,,,
Abu al Abyad,seagrass,Abu Dhabi,2,0-2.5,2.5,88,3.604,11.40,10.84,0.57,,0.114,0.108,0.006,,1.280,0.146,0.139,0.007,0.365,0.347,0.018,3647.4,3466.1,181.3,36.47,34.66,1.81,,,
Abu al Abyad,seagrass,Abu Dhabi,2,2.5-5.5,3,,3.516,11.53,10.69,0.83,,0.115,0.107,0.008,,1.266,0.146,0.135,0.011,0.438,0.406,0.032,4378.1,4061.8,316.3,43.78,40.62,3.16,,,
