Saltmarsh_ID,Nation,Year,Lat_dec_deg ,Long_dec_deg,Grid_Reference,X_easting,Y_northing,Sampling_Method,Depth_cm,Dry_Bulk_Density_g_cm_3,OC_Perc,LOI_Perc,Soil_Texture,LOI_Perc,OC_Perc
Shotley Gate,England,2019,51.96056,1.2475,TM2321334101,623213,234101,Syringe,0_10,1.20,0.44,2.68,Sandy ,2.68,0.44
Shotley Gate,England,2019,51.96028,1.2475,TM2321534070,623215,234070,Syringe,0_10,1.26,0.33,2.82,Sandy ,2.82,0.33
Sleekburn,England,2019,55.14632,-1.557855556,NZ2827983642,428279,583642,Syringe,0_10,0.41,11.88,26.57,Not Sandy,26.57,11.88
Sleekburn,England,2019,55.14628,-1.557848611,NZ2828083637,428280,583637,Syringe,0_10,0.45,13.09,26.81,Not Sandy,26.81,13.09
Sleekburn,England,2019,55.14628,-1.557812778,NZ2828283637,428282,583637,Syringe,0_10,0.45,14.33,28.66,Not Sandy,28.66,14.33
Sleekburn,England,2019,55.14641,-1.558090556,NZ2826483652,428264,583652,Syringe,0_10,0.42,9.46,30.34,Not Sandy,30.34,9.46
Sleekburn,England,2019,55.14642,-1.558106111,NZ2826383653,428263,583653,Syringe,0_10,0.37,14.95,33.99,Not Sandy,33.99,14.95
Snape,England,2019,52.16306,1.5089204,TM4008057449,640080,257449,Syringe,0_10,0.45,11.12,24.45,Not Sandy,24.45,11.12
Snape,England,2019,52.16332,1.5095114,TM4011957480,640119,257480,Syringe,0_10,0.24,22.56,37.12,Not Sandy,37.12,22.56
Snape,England,2019,52.16324,1.5093292,TM4010757470,640107,257470,Syringe,0_10,0.31,19.07,39.41,Not Sandy,39.41,19.07
Snape,England,2019,52.16341,1.5096352,TM4012757490,640127,257490,Syringe,0_10,0.19,24.93,57.96,Organic,57.96,24.93
Spinny,England,2019,52.0316,1.3384427,TM2909742282,629097,242282,Syringe,0_10,0.44,5.42,14.97,Not Sandy,14.97,5.42
Spinny,England,2019,52.03168,1.3381424,TM2907642290,629076,242290,Syringe,0_10,0.36,9.05,24.98,Not Sandy,24.98,9.05
Stoke,England,2019,51.4153,0.5791,TQ7944271631,579442,171631,Syringe,0_10,0.40,10.42,22.80,Not Sandy,22.80,10.42
Stoke,England,2019,51.4159,0.579,TQ7943371698,579433,171698,Syringe,0_10,0.39,9.30,22.99,Not Sandy,22.99,9.30
Stoke,England,2019,51.4157,0.5791,TQ7944171676,579441,171676,Syringe,0_10,0.39,8.99,23.86,Not Sandy,23.86,8.99
